nblocks:nthreads_per_block:niter_bench:img_len:gpu_compute_time_seconds
3060:399:11:104857600:0,00709601
3060:400:11:104857600:0,00715319
3060:401:11:104857600:0,00706755
3060:402:11:104857600:0,00704673
3060:404:11:104857600:0,00703043
3060:406:11:104857600:0,00698730
3060:407:11:104857600:0,00697480
3060:408:11:104857600:0,00697331
3060:409:11:104857600:0,00693923
3060:411:11:104857600:0,00691489
3060:412:11:104857600:0,00695585
3060:414:11:104857600:0,00686865
3060:415:11:104857600:0,00684949
3060:417:11:104857600:0,00688022
3060:419:11:104857600:0,00685054
3060:420:11:104857600:0,00684374
3060:421:11:104857600:0,00682404
3060:423:11:104857600:0,00678346
3060:424:11:104857600:0,00679247
3060:425:11:104857600:0,00676124
3060:426:11:104857600:0,00674739
3060:428:11:104857600:0,00672337
3060:429:11:104857600:0,00669092
3060:430:11:104857600:0,00668463
3060:432:11:104857600:0,00671420
3060:433:11:104857600:0,00664215
3060:434:11:104857600:0,00663100
3060:436:11:104857600:0,00660636
3060:438:11:104857600:0,00657949
3060:439:11:104857600:0,00655570
3060:441:11:104857600:0,00653783
3060:443:11:104857600:0,00651134
3060:445:11:104857600:0,00648005
3060:447:11:104857600:0,00645504
3060:448:11:104857600:0,00654908
3060:449:11:104857600:0,00646370
3060:451:11:104857600:0,00643204
3060:452:11:104857600:0,00642478
3060:453:11:104857600:0,00641146
3060:454:11:104857600:0,00639896
3060:455:11:104857600:0,00638304
3060:457:11:104857600:0,00635880
3060:459:11:104857600:0,00634367
3060:460:11:104857600:0,00632379
3060:462:11:104857600:0,00629514
3060:463:11:104857600:0,00628283
3060:464:11:104857600:0,00633964
3060:465:11:104857600:0,00626129
3060:467:11:104857600:0,00623384
3060:468:11:104857600:0,00622836
3060:469:11:104857600:0,00621789
3060:471:11:104857600:0,00618652
3060:472:11:104857600:0,00619424
3060:474:11:104857600:0,00615718
3060:475:11:104857600:0,00614656
3060:477:11:104857600:0,00612218
3060:478:11:104857600:0,00610855
3060:479:11:104857600:0,00609704
3060:481:11:104857600:0,00612940
3060:483:11:104857600:0,00610055
3060:485:11:104857600:0,00608122
3060:486:11:104857600:0,00607287
